DATE,COMPOUT
2009-07-22,1093.333421875
2009-07-29,1065.724859375
2009-08-05,1076.410054688
2009-08-12,1074.647890625
2009-08-19,1110.493132813
2009-08-26,1154.196671875
2009-09-02,1162.620354816
2009-09-09,1173.908646412
2009-09-16,1189.642113501
2009-09-23,1212.149965047
2009-09-30,1231.913113069
2009-10-07,1299.523508507
2009-10-14,1326.836023903
2009-10-21,1366.737638436
2009-10-28,1377.164973803
2009-11-04,1315.364278936
2009-11-11,1238.578636367
2009-11-18,1267.168580607
2009-11-25,1259.318245597
2009-12-02,1235.633388524
2009-12-09,1210.0745683
2009-12-16,1150.544983933
2009-12-23,1159.455085496
2009-12-30,1170.01646232
2010-01-06,1075.795030776
2010-01-13,1102.756435834
2010-01-20,1093.074425144
2010-01-27,1148.30398491
2010-02-03,1122.70234394
2010-02-10,1133.257622451
2010-02-17,1137.365554137
2010-02-24,1154.135079224
2010-03-03,1134.469925196
2010-03-10,1145.045463685
2010-03-17,1122.277397579
2010-03-24,1114.752678914
2010-03-31,1109.622171928
2010-04-07,1089.652390246
2010-04-14,1074.156917757
2010-04-21,1075.714227678
2010-04-28,1108.792679924
2010-05-05,1102.085051045
2010-05-12,1102.880055137
2010-05-19,1075.874432635
2010-05-26,1073.129593854
2010-06-02,1062.794901164
2010-06-09,1064.230786826
2010-06-16,1083.180710508
2010-06-23,1098.610074739
2010-06-30,1098.489139432
2010-07-07,1091.198295991
2010-07-14,1097.121212341
2010-07-21,1099.560552703
2010-07-28,1101.03005809
2010-08-04,1096.488884729
2010-08-11,1104.931614616
2010-08-18,1110.659420312
2010-08-25,1086.928538863
2010-09-01,1064.209679703
2010-09-08,1058.695287624
2010-09-15,1036.0131431
2010-09-22,1063.766443
2010-09-29,1090.977673789
2010-10-06,1122.196189772
2010-10-13,1127.34809675
2010-10-20,1145.053705684
2010-10-27,1167.867833088
2010-11-03,1145.428699418
2010-11-10,1134.042692335
2010-11-17,1086.604911648
2010-11-24,1066.877252963
2010-12-01,1022.624054858
2010-12-08,1009.941214155
2010-12-15,984.16590191
2010-12-22,976.942374713
2010-12-29,971.52745432
2011-01-05,968.115396937
2011-01-12,938.36755027
2011-01-19,916.829708667
2011-01-26,988.349913847
2011-02-02,996.648338794
2011-02-09,1014.660962603
2011-02-16,1041.892690869
2011-02-23,1046.811593901
2011-03-02,1064.729051762
2011-03-09,1063.129183878
2011-03-16,1076.057605136
2011-03-23,1080.096854516
2011-03-30,1081.669495506
2011-04-06,1093.568162589
2011-04-13,1100.059483041
2011-04-20,1100.206651268
2011-04-27,1107.123397341
2011-05-04,1131.323402841
2011-05-11,1161.973268
2011-05-18,1187.707211851
2011-05-25,1202.771664625
2011-06-01,1201.470198414
2011-06-08,1224.444262884
2011-06-15,1212.07356585
2011-06-22,1233.042966537
2011-06-29,1235.866945826
2011-07-06,1215.855686667
2011-07-13,1236.57410764
2011-07-20,1208.636479394
2011-07-27,1205.856538677
2011-08-03,1175.826787927
2011-08-10,1169.384433793
2011-08-17,1146.66088023
2011-08-24,1117.089694402
2011-08-31,1097.838892007
2011-09-07,1065.806915168
2011-09-14,1043.151032894
2011-09-21,1029.793243772
2011-09-28,1007.600406813
2011-10-05,985.330932653
2011-10-12,966.260841841
2011-10-19,949.250626669
2011-10-26,961.063156952
2011-11-02,979.665740558
2011-11-09,967.745177794
2011-11-16,999.592621391
2011-11-23,999.677664607
2011-11-30,1001.988580316
2011-12-07,997.226546651
2011-12-14,991.672835852
2011-12-21,986.504416303
2011-12-28,959.329216883
2012-01-04,929.175103507
2012-01-11,963.06079041
2012-01-18,967.969521745
2012-01-25,971.436144689
2012-02-01,972.214885923
2012-02-08,972.883160017
2012-02-15,962.118653123
2012-02-22,937.667130647
2012-02-29,927.24322818
2012-03-07,925.594656682
2012-03-14,936.842060905
2012-03-21,931.205490853
2012-03-28,937.558371296
2012-04-04,931.508841797
2012-04-11,928.451708984
2012-04-18,932.626332031
2012-04-25,925.892632813
2012-05-02,939.943703125
2012-05-09,966.35765625
2012-05-16,993.598871094
2012-05-23,1008.51734375
2012-05-30,1028.550929688
2012-06-06,1013.872625
2012-06-13,1007.137515625
2012-06-20,998.21496794
2012-06-27,1008.304356546
2012-07-04,972.61601443
2012-07-11,981.883007047
2012-07-18,982.525101117
2012-07-25,1002.682521008
2012-08-01,1034.379269531
2012-08-08,1013.573992188
2012-08-15,1020.322304688
2012-08-22,1024.996035156
2012-08-29,1031.812015625
2012-09-05,1021.952578125
2012-09-12,1015.560178125
2012-09-19,1008.328632813
2012-09-26,990.101631094
2012-10-03,975.063763906
2012-10-10,964.850263906
2012-10-17,943.628508438
2012-10-24,924.398800781
2012-10-31,945.754445313
2012-11-07,963.620105469
2012-11-14,968.583615625
2012-11-21,997.86727722
2012-11-28,1025.6167708
2012-12-05,1035.553392969
2012-12-12,1049.318054264
2012-12-19,1058.254957284
2012-12-26,1065.572981409
2013-01-02,1081.797145156
2013-01-09,1105.021599546
2013-01-16,1132.816073507
2013-01-23,1125.5745184
2013-01-30,1125.039178456
2013-02-06,1111.781194696
2013-02-13,1085.288085977
2013-02-20,1062.91679078
2013-02-27,1063.114821958
2013-03-06,1020.610690369
2013-03-13,1017.995809473
2013-03-20,1016.386146457
2013-03-27,1021.675175506
2013-04-03,1002.190874458
2013-04-10,1021.722986107
2013-04-17,1015.543375301
2013-04-24,1009.827811937
2013-05-01,997.311962107
2013-05-08,992.349557726
2013-05-15,1013.461028759
2013-05-22,1033.337629846
2013-05-29,1047.768342522
2013-06-05,1030.534574483
2013-06-12,1034.388030555
